Team Number,Team Name
1,Abilene_Chr
2,Air_Force
3,Akron
4,Alabama
5,Alabama_A&M
6,Alabama_St
7,Alcorn_St
8,American_Univ
9,Appalachian_St
10,Arizona
11,Arizona_St
12,Ark_Little_Rock
13,Ark_Pine_Bluff
14,Arkansas
15,Arkansas_St
16,Army
17,Auburn
18,Austin_Peay
19,Ball_St
20,Baylor
21,Bellarmine
22,Belmont
23,Bethune-Cookman
24,Binghamton
25,Boise_St
26,Boston_College
27,Boston_Univ
28,Bowling_Green
29,Bradley
30,Brown
31,Bryant
32,Bucknell
33,Buffalo
34,Butler
35,BYU
36,C_Michigan
37,Cal_Baptist
38,Cal_Poly
39,California
40,Campbell
41,Canisius
42,Cent_Arkansas
43,Central_Conn
44,Charleston_So
45,Charlotte
46,Chattanooga
47,Chicago_St
48,Cincinnati
49,Citadel
50,Clemson
51,Cleveland_St
52,Coastal_Car
53,Col_Charleston
54,Colgate
55,Colorado
56,Colorado_St
57,Columbia
58,Connecticut
59,Coppin_St
60,Cornell
61,Creighton
62,CS_Bakersfield
63,CS_Fullerton
64,CS_Northridge
65,CS_Sacramento
66,Dartmouth
67,Davidson
68,Dayton
69,Delaware
70,Delaware_St
71,Denver
72,DePaul
73,Detroit
74,Drake
75,Drexel
76,Duke
77,Duquesne
78,E_Illinois
79,E_Kentucky
80,E_Michigan
81,E_Washington
82,East_Carolina
83,East_Texas_A&M
84,Elon
85,ETSU
86,Evansville
87,F_Dickinson
88,Fairfield
89,FGCU
90,FL_Atlantic
91,Florida
92,Florida_A&M
93,Florida_Intl
94,Florida_St
95,Fordham
96,Fresno_St
97,Furman
98,G_Washington
99,Ga_Southern
100,Gardner_Webb
101,George_Mason
102,Georgetown
103,Georgia
104,Georgia_St
105,Georgia_Tech
106,Gonzaga
107,Grambling
108,Grand_Canyon
109,Hampton
110,Harvard
111,Hawaii
112,High_Point
113,Hofstra
114,Holy_Cross
115,Houston
116,Houston_Chr
117,Howard
118,Idaho
119,Idaho_St
120,IL_Chicago
121,Illinois
122,Illinois_St
123,Incarnate_Word
124,Indiana
125,Indiana_St
126,Iona
127,Iowa
128,Iowa_St
129,IUPUI
130,Jackson_St
131,Jacksonville
132,Jacksonville_St
133,James_Madison
134,Kansas
135,Kansas_St
136,Kennesaw
137,Kent
138,Kentucky
139,La_Salle
140,Lafayette
141,Lamar
142,Le_Moyne
143,Lehigh
144,Liberty
145,Lindenwood
146,Lipscomb
147,LIU_Brooklyn
148,Long_Beach_St
149,Longwood
150,Louisiana
151,Louisiana_Tech
152,Louisville
153,Loy_Marymount
154,Loyola_MD
155,Loyola-Chicago
156,LSU
157,MA_Lowell
158,Maine
159,Manhattan
160,Marist
161,Marquette
162,Marshall
163,Maryland
164,Massachusetts
165,McNeese_St
166,MD_E_Shore
167,Memphis
168,Mercer
169,Mercyhurst
170,Merrimack
171,Miami_FL
172,Miami_OH
173,Michigan
174,Michigan_St
175,Minnesota
176,Mississippi
177,Mississippi_St
178,Missouri
179,Missouri_KC
180,Missouri_St
181,Monmouth_NJ
182,Montana
183,Montana_St
184,Morehead_St
185,Morgan_St
186,MS_Valley_St
187,Mt_St_Mary's
188,MTSU
189,Murray_St
190,N_Colorado
191,N_Dakota_St
192,N_Illinois
193,N_Kentucky
194,Navy
195,NC_A&T
196,NC_Central
197,NC_State
198,NE_Omaha
199,Nebraska
200,Nevada
201,New_Hampshire
202,New_Mexico
203,New_Mexico_St
204,New_Orleans
205,Niagara
206,Nicholls_St
207,NJIT
208,Norfolk_St
209,North_Alabama
210,North_Carolina
211,North_Dakota
212,North_Florida
213,North_Texas
214,Northeastern
215,Northern_Arizona
216,Northern_Iowa
217,Northwestern
218,Northwestern_LA
219,Notre_Dame
220,Oakland
221,Ohio
222,Ohio_St
223,Oklahoma
224,Oklahoma_St
225,Old_Dominion
226,Oral_Roberts
227,Oregon
228,Oregon_St
229,Pacific
230,Penn
231,Penn_St
232,Pepperdine
233,PFW
234,Pittsburgh
235,Portland
236,Portland_St
237,Prairie_View
238,Presbyterian
239,Princeton
240,Providence
241,Purdue
242,Queens_NC
243,Quinnipiac
244,Radford
245,Rhode_Island
246,Rice
247,Richmond
248,Rider
249,Robert_Morris
250,Rutgers
251,S_Carolina_St
252,S_Dakota_St
253,S_Illinois
254,Sacred_Heart
255,Sam_Houston_St
256,Samford
257,San_Diego
258,San_Diego_St
259,San_Francisco
260,San_Jose_St
261,Santa_Clara
262,SC_Upstate
263,SE_Louisiana
264,SE_Missouri_St
265,Seattle
266,Seton_Hall
267,SF_Austin
268,Siena
269,SIUE
270,SMU
271,South_Alabama
272,South_Carolina
273,South_Dakota
274,South_Florida
275,Southern_Indiana
276,Southern_Miss
277,Southern_Univ
278,Southern_Utah
279,St_Bonaventure
280,St_Francis_PA
281,St_John's
282,St_Joseph's_PA
283,St_Louis
284,St_Mary's_CA
285,St_Peter's
286,St_Thomas_MN
287,Stanford
288,Stetson
289,Stonehill
290,Stony_Brook
291,SUNY_Albany
292,Syracuse
293,TAM_C._Christi
294,Tarleton_St
295,TCU
296,Temple
297,Tennessee
298,Tennessee_St
299,Tennessee_Tech
300,Texas
301,Texas_A&M
302,Texas_St
303,Texas_Tech
304,TN_Martin
305,Toledo
306,Towson
307,Troy
308,Tulane
309,Tulsa
310,TX_Southern
311,UAB
312,UC_Davis
313,UC_Irvine
314,UC_Riverside
315,UC_San_Diego
316,UC_Santa_Barbara
317,UCF
318,UCLA
319,ULM
320,UMBC
321,UNC_Asheville
322,UNC_Greensboro
323,UNC_Wilmington
324,UNLV
325,USC
326,UT_Arlington
327,UT_San_Antonio
328,Utah
329,Utah_St
330,Utah_Tech
331,Utah_Valley
332,UTEP
333,UTRGV
334,Valparaiso
335,Vanderbilt
336,VCU
337,Vermont
338,Villanova
339,Virginia
340,Virginia_Tech
341,VMI
342,W_Carolina
343,W_Illinois
344,W_Michigan
345,Wagner
346,Wake_Forest
347,Washington
348,Washington_St
349,Weber_St
350,West_Georgia
351,West_Virginia
352,WI_Green_Bay
353,WI_Milwaukee
354,Wichita_St
355,William_&_Mary
356,Winthrop
357,Wisconsin
358,WKU
359,Wofford
360,Wright_St
361,Wyoming
362,Xavier
363,Yale
364,Youngstown_St
